Model,MCC,ROC_AUC,Balanced_Accuracy,F1,Recall,Precision,Specificity,NPV,PR_AUC
LogisticRegression,0.9484217005553844,0.9977672359266287,0.9738709677419356,0.967741935483871,0.967741935483871,1.0,1.0,0.98,0.9965947239978196
GaussianNB,0.895876027830487,0.9897786211258698,0.947741935483871,0.935483870967742,0.935483870967742,0.9201680672268908,0.9505882352941176,0.9603921568627451,0.985479081222204
LDA,0.9237301021858108,0.9955544354838708,0.9579380139152436,0.9508196721311476,0.935483870967742,1.0,1.0,0.961161387631976,0.9934447423448044
SVM,0.948277896451,0.9977672359266287,0.9682459677419356,0.9672043010752688,0.9375,1.0,1.0,0.961901306240929,0.9965947239978196
RandomForest,0.9233488725734652,0.9942504743833016,0.9615065623023404,0.9523809523809524,0.9375,0.9672043010752688,0.98,0.9622641509433962,0.9914534101002488
LightGBM,0.9226990875090272,0.9946236559139784,0.9613104838709676,0.9523809523809524,0.935483870967742,0.9666666666666668,0.9803921568627452,0.9615384615384616,0.9919689442222074
